game_num,winner_strategy,total_turns,winner_hp,avg_gold_per_player,total_damage,total_kills,combo_points,synergy_points,rare_cards_played,copies_triggered,eliminations
472,rare_hunter,33,4,194.25,632,62,844,364,38,14,"random,warrior,economist,rare_hunter"
473,tempo,26,123,110.75,528,46,992,338,15,16,"random,warrior,builder,tempo"
474,tempo,24,135,126.0,512,41,606,316,25,6,"economist,warrior,balancer,tempo"
475,tempo,23,141,100.0,505,39,825,299,21,14,"builder,random,rare_hunter,tempo"
476,economist,25,68,113.75,567,44,721,302,19,15,"evolver,warrior,tempo,economist"
477,tempo,19,150,88.75,495,28,400,243,18,9,"warrior,balancer,evolver,tempo"
478,tempo,22,140,103.25,509,28,963,285,13,8,"balancer,builder,random,tempo"
479,tempo,18,150,104.5,507,23,473,228,18,3,"random,economist,balancer,tempo"
480,economist,35,12,166.25,628,74,843,409,28,18,"rare_hunter,balancer,evolver,economist"
481,tempo,34,10,167.25,615,74,1080,427,22,19,"rare_hunter,builder,random,tempo"
482,tempo,32,42,135.0,575,60,1061,379,30,23,"evolver,rare_hunter,balancer,tempo"
483,rare_hunter,25,116,118.75,502,51,774,346,18,12,"random,balancer,builder,rare_hunter"
484,tempo,22,150,100.25,481,38,668,284,20,11,"rare_hunter,warrior,random,tempo"
485,economist,28,16,180.5,589,55,839,355,25,18,"evolver,rare_hunter,random,economist"
486,economist,26,74,157.0,575,49,808,308,22,18,"rare_hunter,balancer,builder,economist"
487,economist,25,106,130.0,545,51,711,339,13,16,"builder,random,warrior,economist"
488,tempo,22,125,113.75,545,40,724,289,17,13,"economist,builder,rare_hunter,tempo"
489,balancer,31,36,171.0,583,60,1035,388,27,24,"evolver,tempo,economist,balancer"
490,balancer,23,79,107.25,564,47,627,314,18,7,"random,rare_hunter,tempo,balancer"
491,evolver,29,64,150.5,559,54,737,331,23,17,"random,balancer,economist,evolver"
492,tempo,22,134,102.25,492,42,574,299,17,7,"rare_hunter,evolver,random,tempo"
493,rare_hunter,26,94,174.5,537,51,752,309,16,18,"random,builder,economist,rare_hunter"
494,warrior,25,42,109.5,571,50,782,308,18,9,"tempo,rare_hunter,balancer,warrior"
495,warrior,24,95,116.75,536,44,838,314,17,19,"random,evolver,builder,warrior"
496,tempo,20,150,106.0,475,31,642,251,16,8,"builder,warrior,economist,tempo"
497,evolver,25,98,115.0,532,51,913,338,20,14,"builder,rare_hunter,warrior,evolver"
498,economist,26,89,146.75,541,52,719,348,21,19,"balancer,evolver,builder,economist"
499,evolver,29,56,126.0,562,58,828,386,26,19,"balancer,random,rare_hunter,evolver"
500,tempo,22,150,109.75,489,39,726,282,18,7,"economist,balancer,rare_hunter,tempo"
