game,turns,winner,winner_hp
308,37,warrior,14
309,37,evolver,1
310,29,evolver,105
311,32,tempo,7
312,27,balancer,121
313,33,balancer,77
314,28,balancer,118
315,34,tempo,53
316,36,warrior,61
317,34,warrior,53
318,34,warrior,31
319,37,rare_hunter,3
320,36,warrior,1
321,31,tempo,69
322,34,evolver,36
323,28,tempo,84
324,29,economist,79
325,32,warrior,2
326,26,rare_hunter,143
327,34,rare_hunter,61
328,32,rare_hunter,90
329,28,warrior,95
330,26,tempo,134
331,34,tempo,67
332,33,builder,17
333,32,balancer,79
334,29,warrior,100
335,35,economist,42
336,30,balancer,92
337,32,economist,65
338,33,rare_hunter,33
339,29,tempo,84
340,28,tempo,69
341,32,evolver,37
342,31,tempo,85
343,30,warrior,87
344,36,random,1
345,32,tempo,62
346,32,economist,4
347,31,tempo,110
348,31,warrior,91
349,28,tempo,133
350,30,economist,68
351,29,warrior,100
352,37,random,7
353,32,economist,27
354,29,rare_hunter,80
355,32,evolver,21
356,32,evolver,86
357,32,tempo,79
358,36,economist,9
359,33,tempo,9
360,33,tempo,49
361,28,warrior,141
362,32,balancer,42
363,33,evolver,5
364,35,economist,3
365,36,rare_hunter,42
366,32,rare_hunter,74
367,33,economist,51
368,36,tempo,7
369,30,warrior,52
370,28,warrior,130
371,33,rare_hunter,51
372,29,tempo,91
373,31,balancer,113
374,37,rare_hunter,44
375,35,evolver,79
376,33,economist,19
377,37,economist,1
378,34,economist,78
379,35,economist,52
380,30,balancer,53
381,32,rare_hunter,2
382,30,economist,94
383,27,rare_hunter,124
384,35,warrior,63
385,31,tempo,33
386,35,economist,5
387,32,economist,25
388,28,balancer,107
389,35,rare_hunter,6
390,35,economist,41
391,32,balancer,27
392,39,random,2
393,28,tempo,128
394,33,rare_hunter,30
395,36,tempo,8
396,33,economist,1
397,24,tempo,126
398,34,rare_hunter,19
399,31,rare_hunter,74
400,31,rare_hunter,84
401,34,random,24
402,27,rare_hunter,131
403,35,tempo,10
404,34,tempo,20
405,31,tempo,70
406,31,rare_hunter,24
407,32,balancer,66
408,33,rare_hunter,2
409,32,economist,20
410,30,evolver,80
411,31,warrior,88
412,37,tempo,7
413,33,balancer,54
414,29,warrior,54
415,32,evolver,58
416,36,tempo,36
417,33,economist,39
418,28,rare_hunter,150
419,36,economist,10
420,33,economist,3
421,33,economist,35
422,33,economist,22
423,34,balancer,68
424,32,warrior,37
425,35,warrior,15
426,36,warrior,3
427,34,balancer,16
428,31,rare_hunter,64
429,34,warrior,48
430,33,warrior,1
431,31,warrior,106
432,27,rare_hunter,104
433,36,economist,1
434,32,rare_hunter,23
435,36,rare_hunter,1
436,35,builder,2
437,31,warrior,103
438,35,builder,5
439,34,economist,46
440,33,rare_hunter,44
441,33,tempo,11
442,33,rare_hunter,53
443,32,balancer,59
444,38,rare_hunter,10
445,35,balancer,10
446,30,economist,55
447,34,tempo,52
448,33,economist,43
449,37,evolver,10
450,37,rare_hunter,3
451,30,warrior,109
452,39,rare_hunter,2
453,29,economist,39
454,28,warrior,113
455,33,rare_hunter,21
456,36,evolver,23
457,33,evolver,35
458,38,balancer,2
459,31,rare_hunter,100
460,29,tempo,106
461,31,tempo,17
462,35,rare_hunter,1
463,37,random,5
464,31,rare_hunter,87
465,34,economist,17
466,40,balancer,7
467,34,economist,30
468,31,tempo,93
469,29,warrior,132
470,36,evolver,28
471,32,tempo,49
472,34,evolver,25
473,30,warrior,72
474,33,evolver,16
475,30,rare_hunter,106
476,32,tempo,45
477,29,warrior,140
478,33,evolver,50
479,32,economist,6
480,31,rare_hunter,88
481,31,rare_hunter,61
482,40,warrior,7
483,31,balancer,127
484,31,tempo,105
485,32,warrior,101
486,30,evolver,72
487,32,balancer,22
488,34,economist,71
489,33,balancer,44
490,29,tempo,129
491,36,evolver,8
492,36,economist,7
493,28,warrior,147
494,29,warrior,123
495,39,evolver,4
496,32,balancer,45
497,26,rare_hunter,146
498,36,tempo,8
499,28,tempo,137
500,34,rare_hunter,57
501,35,economist,24
502,31,balancer,51
503,30,warrior,134
504,30,balancer,70
505,30,economist,57
506,32,warrior,44
507,29,warrior,102
508,36,economist,2
509,32,rare_hunter,44
510,30,rare_hunter,50
511,31,balancer,11
512,36,warrior,18
513,34,random,94
514,31,rare_hunter,91
515,24,tempo,149
516,30,evolver,65
517,30,balancer,113
518,34,evolver,86
519,34,economist,12
520,32,balancer,10
521,34,economist,37
522,34,balancer,39
523,36,warrior,2
524,33,tempo,24
525,35,rare_hunter,18
526,31,warrior,81
527,35,balancer,34
528,34,economist,38
529,34,warrior,63
530,32,random,15
531,31,evolver,105
532,36,warrior,12
533,38,economist,30
534,28,evolver,62
535,33,random,4
536,29,rare_hunter,75
537,35,rare_hunter,14
538,33,balancer,36
539,32,tempo,91
540,34,economist,20
541,33,economist,3
542,33,balancer,21
543,28,warrior,110
544,35,warrior,28
545,29,balancer,119
546,31,economist,66
547,29,economist,98
548,35,rare_hunter,29
549,35,economist,27
550,32,economist,69
551,34,warrior,17
552,30,tempo,70
553,33,rare_hunter,68
554,36,warrior,63
555,31,evolver,65
556,35,economist,1
557,34,economist,12
558,32,rare_hunter,1
559,34,rare_hunter,54
560,38,economist,13
561,34,tempo,1
